Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,search-query,query-date,doi,bibtex,doi_link,No Survey / Literature Review,Contains Experiments and Results for WTPC,Full Text Available,Used Features,Used Models,Used Evaluation Metrics,Dataset Description,Dataset From Date,Dataset To Date,Time period,Granularity,Number of Turbines,Location,Available Features,Power per WT,Onshore/Offshore?,Observed Failures,Dataset Availability,Source Code Availability
"Cambron, P; Lepvrier, R; Masson, C; Tahan, A; Pelletier, F; ",Power curve monitoring using weighted moving average control charts,Renewable Energy,94.0,,126-135,2016,Elsevier,power curve monitoring,2025-06-12,10.1016/j.renene.2016.03.031,"@article{Cambron_2016, title={Power curve monitoring using weighted moving average control charts}, volume={94}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2016.03.031}, DOI={10.1016/j.renene.2016.03.031}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Cambron, P. and Lepvrier, R. and Masson, C. and Tahan, A. and Pelletier, F.}, year={2016}, month=aug, pages={126–135} }",https://doi.org/10.1016/j.renene.2016.03.031,True,True,True,"Turbulence Intensity, Air Density","IEC Standard, GWMA, EWMA",None,,01.01.2009,31.12.2015,,10 min,> 50,Canada,,,Onshore,,No,No
"Yesilbudak, Mehmet; ",Partitional clustering-based outlier detection for power curve optimization of wind turbines,2016 IEEE International Conference on Renewable Energy Research and Applications (ICRERA),,,1080-1084,2016,IEEE,power curve monitoring,2025-06-12,10.1109/icrera.2016.7884500,"@inproceedings{Yesilbudak_2016, title={Partitional clustering-based outlier detection for power curve optimization of wind turbines}, url={http://dx.doi.org/10.1109/icrera.2016.7884500}, DOI={10.1109/icrera.2016.7884500}, booktitle={2016 IEEE International Conference on Renewable Energy Research and Applications (ICRERA)}, publisher={IEEE}, author={Yesilbudak, Mehmet}, year={2016}, month=nov }",https://doi.org/10.1109/icrera.2016.7884500,True,False,True,,,None,,,,,,,,,,,,,
"Lou, Jianlou; Shan, Kai; Xu, Jia; ",A new condition monitoring method for wind turbines based on power curve model,International Journal of Control and Automation,121.0,,470-475,2016,,power curve monitoring,2025-06-12,10.14257/astl.2016.121.85,"@inproceedings{Lou_2016, series={AST 2016}, title={A New Condition Monitoring Method for Wind Turbines Based on Power Curve Model}, ISSN={2287-1233}, url={http://dx.doi.org/10.14257/astl.2016.121.85}, DOI={10.14257/astl.2016.121.85}, booktitle={Advanced Science and Technology Letters}, publisher={Science & Engineering Research Support soCiety}, author={Lou, Jianlou and Shan, Kai and Xu, Jia}, year={2016}, month=jan, pages={470–475}, collection={AST 2016} }",https://doi.org/10.14257/astl.2016.121.85,False,False,False,,,None,,,,,,,,,,,,,
"Sohoni, Vaishali; Gupta, Shivcharan; Nema, Rajeshkumar; ",A comparative analysis of wind speed probability distributions for wind power assessment of four sites,Turkish Journal of Electrical Engineering and Computer Sciences,24.0,6.0,4724-4735,2016,,wind power curve,2025-06-12,10.3906/elk-1412-207,"@article{SOHONI_2016, title={A comparative analysis of wind speed probability distributions for wind power assessment of four sites}, volume={24}, ISSN={1303-6203}, url={http://dx.doi.org/10.3906/elk-1412-207}, DOI={10.3906/elk-1412-207}, journal={TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES}, publisher={The Scientific and Technological Research Council of Turkey (TUBITAK-ULAKBIM) - DIGITAL COMMONS JOURNALS}, author={SOHONI, Vaishali and GUPTA, Shivcharan and NEMA, Rajeshkumar}, year={2016}, pages={4724–4735} }",https://doi.org/10.3906/elk-1412-207,True,True,True,Air Density,Logistic Function,"RMSE, R^2, Chi-square, Kolmogorov-Smirnov Test, Anderson-Darling Test, Percentage Error","NREL (National Renewable Energy
Laboratory) wind farms; A, B, C and D; Vestas V90",,,1 year,A-C: 10 min; D: 1 hour,10 per wind farm,"Different geographical locations; D: Alberta, Canada",,2,Onshore,,No,No
"Bi, Ran; Zhou, Chengke; Hepburn, Donald M; ",Applying instantaneous SCADA data to artificial intelligence based power curve monitoring and WTG fault forecasting,2016 International Conference on Smart Grid and Clean Energy Technologies (ICSGCE),,,176-181,2016,IEEE,power curve monitoring,2025-06-12,10.1109/icsgce.2016.7876048,"@inproceedings{Bi_2016, title={Applying instantaneous SCADA data to artificial intelligence based power curve monitoring and WTG fault forecasting}, url={http://dx.doi.org/10.1109/icsgce.2016.7876048}, DOI={10.1109/icsgce.2016.7876048}, booktitle={2016 International Conference on Smart Grid and Clean Energy Technologies (ICSGCE)}, publisher={IEEE}, author={Bi, Ran and Zhou, Chengke and Hepburn, Donald M}, year={2016}, month=oct, pages={176–181} }",https://doi.org/10.1109/icsgce.2016.7876048,True,False,True,,,None,,,,,,,,,,,,,
"Lou, Jianlou; Lu, Heng; Xu, Jia; Qu, Zhaoyang; ",A data-mining approach for wind turbine power generation performance monitoring based on power curve,Int. J. Smart Home,10.0,2.0,137-152,2016,,power curve monitoring,2025-06-12,10.14257/astl.2016.121.83,"@inproceedings{Lou_2016, series={AST 2016}, title={A Data-Mining Approach for Wind Turbine Power Generation Performance Monitoring Based on Power Curve}, ISSN={2287-1233}, url={http://dx.doi.org/10.14257/astl.2016.121.83}, DOI={10.14257/astl.2016.121.83}, booktitle={Advanced Science and Technology Letters}, publisher={Science & Engineering Research Support soCiety}, author={Lou, Jianlou and Lu, Heng and Xu, Jia and Qu, Zhaoyang}, year={2016}, month=jan, pages={456–462}, collection={AST 2016} }",https://doi.org/10.14257/astl.2016.121.83,False,False,False,,,None,,,,,,,,,,,,,
"Pelletier, Francis; Masson, Christian; Tahan, Antoine; ",Wind turbine power curve modelling using artificial neural network,Renewable Energy,89.0,,207-214,2016,Elsevier,power curve,2025-06-12,10.1016/j.renene.2015.11.065,"@article{Pelletier_2016, title={Wind turbine power curve modelling using artificial neural network}, volume={89}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2015.11.065}, DOI={10.1016/j.renene.2015.11.065}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Pelletier, Francis and Masson, Christian and Tahan, Antoine}, year={2016}, month=apr, pages={207–214} }",https://doi.org/10.1016/j.renene.2015.11.065,True,True,True,"Nacelle windspeed, Air Density, Turbulence Intensity, Wind Shear, Wind Direction, Yaw Misalignment","Feed forward NN, Polynomial regression, k-NN, Exponential model, IEC Standard, Logistic Function, Logarithmic Regression","Mean error, MAE",,24-03-2009;01-05-2009,31-01-2010;19-02-2010,,10min,,Nordic/Scandinavia,>50,,,,No,No
"Sohoni, Vaishali; Gupta, SC; Nema, Rajesh K; ",A critical review on wind turbine power curve modelling techniques and their applications in wind based energy systems,Journal of Energy,2016.0,1.0,8519785,2016,Wiley Online Library,power curve,2025-06-12,10.1155/2016/8519785,"@article{Sohoni_2016, title={A Critical Review on Wind Turbine Power Curve Modelling Techniques and Their Applications in Wind Based Energy Systems}, volume={2016}, ISSN={2314-615X}, url={http://dx.doi.org/10.1155/2016/8519785}, DOI={10.1155/2016/8519785}, journal={Journal of Energy}, publisher={Wiley}, author={Sohoni, Vaishali and Gupta, S. C. and Nema, R. K.}, year={2016}, pages={1–18} }",https://doi.org/10.1155/2016/8519785,False,False,True,,,None,,,,,,,,,,,,,
"Bandi, Mahesh M; Apt, Jay; ",Variability of the wind turbine power curve,Applied Sciences,6.0,9.0,262,2016,MDPI,power curve,2025-06-12,10.3390/app6090262,"@article{Bandi_2016, title={Variability of the Wind Turbine Power Curve}, volume={6}, ISSN={2076-3417}, url={http://dx.doi.org/10.3390/app6090262}, DOI={10.3390/app6090262}, number={9}, journal={Applied Sciences}, publisher={MDPI AG}, author={Bandi, Mahesh and Apt, Jay}, year={2016}, month=sep, pages={262} }",https://doi.org/10.3390/app6090262,True,False,True,,,None,,,,,,,,,,,,,
"Xu, Man; Pinson, Pierre; Lu, Zongxiang; Qiao, Ying; Min, Yong; ",Adaptive robust polynomial regression for power curve modeling with application to wind power forecasting,Wind Energy,19.0,12.0,2321-2336,2016,Wiley Online Library,power curve model,2025-06-12,10.1002/we.1985,"@article{Xu_2016, title={Adaptive robust polynomial regression for power curve modeling with application to wind power forecasting}, volume={19}, ISSN={1099-1824}, url={http://dx.doi.org/10.1002/we.1985}, DOI={10.1002/we.1985}, number={12}, journal={Wind Energy}, publisher={Wiley}, author={Xu, Man and Pinson, Pierre and Lu, Zongxiang and Qiao, Ying and Min, Yong}, year={2016}, month=apr, pages={2321–2336} }",https://doi.org/10.1002/we.1985,True,True,True,Wind Speed Only,Polynomial regression,"RMSE, Mean error, MAE",,,,1 year,1h,32,Western China,,,Onshore,,No,No
"Wang, Shuangyuan; Huang, Yixiang; Li, Lin; Liu, Chengliang; ",Wind turbines abnormality detection through analysis of wind farm power curves,Measurement,93.0,,178-188,2016,Elsevier,wind farm power curve,2025-06-12,10.1016/j.measurement.2016.07.006,"@article{Wang_2016, title={Wind turbines abnormality detection through analysis of wind farm power curves}, volume={93}, ISSN={0263-2241}, url={http://dx.doi.org/10.1016/j.measurement.2016.07.006}, DOI={10.1016/j.measurement.2016.07.006}, journal={Measurement}, publisher={Elsevier BV}, author={Wang, Shuangyuan and Huang, Yixiang and Li, Lin and Liu, Chengliang}, year={2016}, month=nov, pages={178–188} }",https://doi.org/10.1016/j.measurement.2016.07.006,True,False,True,,,None,,,,,,,,,,,,,
"Taslimi-Renani, Ehsan; Modiri-Delshad, Mostafa; Elias, Mohamad Fathi Mohamad; Rahim, Nasrudin Abd; ",Development of an enhanced parametric model for wind turbine power curve,Applied energy,177.0,,544-552,2016,Elsevier,power curve,2025-06-12,10.1016/j.apenergy.2016.05.124,"@article{Taslimi_Renani_2016, title={Development of an enhanced parametric model for wind turbine power curve}, volume={177}, ISSN={0306-2619}, url={http://dx.doi.org/10.1016/j.apenergy.2016.05.124}, DOI={10.1016/j.apenergy.2016.05.124}, journal={Applied Energy}, publisher={Elsevier BV}, author={Taslimi-Renani, Ehsan and Modiri-Delshad, Mostafa and Elias, Mohamad Fathi Mohamad and Rahim, Nasrudin Abd.}, year={2016}, month=sep, pages={544–552} }",https://doi.org/10.1016/j.apenergy.2016.05.124,True,True,True,Wind Speed Only,Modified hyperbolic tangent function,"RMSE, MAPE",,9/4/2013,4/3/2014,,5 min,1,"Khorasan, Iran",,1.5,Onshore,,No,No
"Janssens, Olivier; Noppe, Nymfa; Devriendt, Christof; Van de Walle, Rik; Van Hoecke, Sofie; ",Data-driven multivariate power curve modeling of offshore wind turbines,Engineering Applications of Artificial Intelligence,55.0,,331-338,2016,Elsevier,power curve,2025-06-12,10.1016/j.engappai.2016.08.003,"@article{Janssens_2016, title={Data-driven multivariate power curve modeling of offshore wind turbines}, volume={55}, ISSN={0952-1976}, url={http://dx.doi.org/10.1016/j.engappai.2016.08.003}, DOI={10.1016/j.engappai.2016.08.003}, journal={Engineering Applications of Artificial Intelligence}, publisher={Elsevier BV}, author={Janssens, Olivier and Noppe, Nymfa and Devriendt, Christof and Walle, Rik Van de and Hoecke, Sofie Van}, year={2016}, month=oct, pages={331–338} }",https://doi.org/10.1016/j.engappai.2016.08.003,True,True,True,"Wind Direction, Rotor RPM, Yaw Misalignment, Blade Pitch Angle, Air Pressure, Ambient Temperature","RF, ERT, SGBRT, IEC Standard, 5PL-DE","MAE, RMSE",Synthetic and real-world dataset used,,,,10 min,3,"North Sea, 46 km off the Belgian Coas",6,"0,02",Offshore,,Yes,No
"Davis, Neil N; Byrkjedal, Øyvind; Hahmann, Andrea N; Clausen, Niels‐Erik; Žagar, Mark; ",Ice detection on wind turbines using the observed power curve,Wind Energy,19.0,6.0,999-1010,2016,Wiley Online Library,power curve,2025-06-12,10.1002/we.1878,"@article{Davis_2015, title={Ice detection on wind turbines using the observed power curve}, volume={19}, ISSN={1099-1824}, url={http://dx.doi.org/10.1002/we.1878}, DOI={10.1002/we.1878}, number={6}, journal={Wind Energy}, publisher={Wiley}, author={Davis, Neil N. and Byrkjedal, Øyvind and Hahmann, Andrea N. and Clausen, Niels‐Erik and Žagar, Mark}, year={2015}, month=jul, pages={999–1010} }",https://doi.org/10.1002/we.1878,True,True,True,"Blade Pitch Angle, Turbulence Intensity","MLP, IEC Standard",Reliability Index,,,,1 year,1 min,3,China,,,Onshore,,No,No
"Li, QS; Shu, ZR; Chen, FB; ",Performance assessment of tall building-integrated wind turbines for power generation,Applied Energy,165.0,,777-788,2016,Elsevier,wind turbine power,2025-06-13,10.1016/j.apenergy.2015.12.114,"@article{Li_2016, title={Performance assessment of tall building-integrated wind turbines for power generation}, volume={165}, ISSN={0306-2619}, url={http://dx.doi.org/10.1016/j.apenergy.2015.12.114}, DOI={10.1016/j.apenergy.2015.12.114}, journal={Applied Energy}, publisher={Elsevier BV}, author={Li, Q.S. and Shu, Z.R. and Chen, F.B.}, year={2016}, month=mar, pages={777–788} }",https://doi.org/10.1016/j.apenergy.2015.12.114,True,False,True,,,None,,,,,,,,,,,,,
"de Andrade Vieira, Rodrigo J; Sanz-Bobi, Miguel A; ",Power curve modelling of a wind turbine for monitoring its behaviour,2015 International Conference on Renewable Energy Research and Applications (ICRERA),,,1052-1057,2015,IEEE,power curve monitoring,2025-06-12,10.1109/icrera.2015.7418571,"@inproceedings{de_Andrade_Vieira_2015, title={Power curve modelling of a wind turbine for monitoring its behaviour}, url={http://dx.doi.org/10.1109/icrera.2015.7418571}, DOI={10.1109/icrera.2015.7418571}, booktitle={2015 International Conference on Renewable Energy Research and Applications (ICRERA)}, publisher={IEEE}, author={de Andrade Vieira, Rodrigo J. and Sanz-Bobi, Miguel A.}, year={2015}, month=nov, pages={1052–1057} }",https://doi.org/10.1109/icrera.2015.7418571,True,True,True,Wind Speed Only,Linear hinges model,None,,1/1/2006,31/1/2009,,,5,,1,,,,No,No
"Lydia, M; Kumar, S Suresh; Selvakumar, A Immanuel; Kumar, G Edwin Prem; ",Wind resource estimation using wind speed and power curve models,Renewable energy,83.0,,425-434,2015,Elsevier,power curve estimation,2025-06-12,10.1016/j.renene.2015.04.045,"@article{Lydia_2015, title={Wind resource estimation using wind speed and power curve models}, volume={83}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2015.04.045}, DOI={10.1016/j.renene.2015.04.045}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Lydia, M. and Suresh Kumar, S. and Immanuel Selvakumar, A. and Edwin Prem Kumar, G.}, year={2015}, month=nov, pages={425–434} }",https://doi.org/10.1016/j.renene.2015.04.045,True,True,True,Wind Speed Only,Logistic Function,"RMSE, Mean error, R^2, Index of Agreement",,,,5 years,daily,5,New Zealand,1,,Onshore,,No,No
